yyyymm,tasmin
199501,-2.4000752
199502,-3.1010146
199503,1.5144365
199504,5.5223074
199505,10.359254
199506,13.862297
199507,16.442318
199508,17.55091
199509,12.027589
199510,6.300304
199511,-1.1734881
199512,-3.6145866
199601,-4.7705216
199602,-2.9303465
199603,-1.6864581
199604,3.7329857
199605,11.010641
199606,14.105984
199607,15.860477
199608,15.868805
199609,12.120287
199610,6.5067067
199611,-0.13936222
199612,-1.2400829
199701,-3.2816827
199702,-0.042687524
199703,3.464052
199704,3.0098941
199705,6.699629
199706,13.618188
199707,16.262798
199708,13.733976
199709,11.891044
199710,6.157067
199711,-0.32495794
199712,-2.6724887
199801,-0.59239525
199802,0.19110079
199803,0.44858047
199804,5.381903
199805,12.1409
199806,14.797538
199807,16.743338
199808,15.549553
199809,13.477366
199810,7.046606
199811,2.6134505
199812,0.22198296
199901,-1.6028215
199902,-1.5099282
199903,-0.9700022
199904,7.031658
199905,9.270242
199906,14.566712
199907,17.351484
199908,15.353539
199909,10.299841
199910,6.3603606
199911,2.8813834
199912,-1.7104769
200001,-4.451527
200002,-1.0670676
200003,2.0857956
200004,4.326592
200005,11.1450815
200006,14.616681
200007,16.07522
200008,15.371017
200009,11.999759
200010,5.663685
200011,0.6218471
200012,-6.556954
200101,-4.804973
200102,-0.37986928
200103,-0.7310338
200104,6.3480506
200105,10.026882
200106,14.313873
200107,16.207262
200108,16.660015
200109,10.772438
200110,3.8026183
200111,2.5832863
200112,0.10761306
200201,-2.8714287
200202,-3.4600737
200203,1.0268234
200204,7.8720536
200205,9.165726
200206,14.687527
200207,17.153015
200208,15.799716
200209,14.511739
200210,10.060502
200211,-0.028754411
200212,-2.7492003
200301,-6.2185907
200302,-2.0126874
200303,2.9304054
200304,6.30446
200305,10.95121
200306,13.903827
200307,16.098429
200308,17.005518
200309,11.0731325
200310,5.3904405
200311,3.020324
200312,-4.2335815
200401,-5.2449713
200402,-2.5327365
200403,1.8695297
200404,5.194115
200405,12.49871
200406,15.720668
200407,16.577818
200408,15.267071
200409,13.095826
200410,9.711236
200411,4.064369
200412,-3.6207836
200501,-1.9127883
200502,-1.3742096
200503,0.017593749
200504,4.643311
200505,8.466374
200506,14.79937
200507,17.685719
200508,17.635742
200509,12.884042
200510,7.8747096
200511,0.9851569
200512,-4.062133
200601,-0.99854016
200602,-3.6417215
200603,0.7384486
200604,6.9338193
200605,8.8200655
200606,13.681604
200607,16.53521
200608,17.336237
200609,11.948575
200610,5.1522994
200611,1.1133084
200612,-1.4046633
200701,-2.924193
200702,-5.3042345
200703,3.2853856
200704,3.5257514
200705,9.526387
200706,14.168629
200707,15.434585
200708,17.515564
200709,12.507409
200710,8.429539
200711,-0.17379375
200712,-0.04037451
200801,-4.8385534
200802,-1.752874
200803,-0.085796826
200804,5.3315625
200805,8.6416025
200806,13.902446
