yyyymm,tasmax
200307,27.126822
200308,27.80076
200309,23.609499
200310,18.703888
200311,17.020102
200312,7.579964
200401,7.1946845
200402,7.902138
200403,15.418258
200404,18.694752
200405,24.890078
200406,25.667847
200407,27.30382
200408,26.089838
200409,23.308702
200410,20.59495
200411,15.144696
200412,8.9241295
200501,9.788816
200502,9.876652
200503,12.118274
200504,18.287493
200505,21.726856
200506,25.286568
200507,27.99984
200508,27.721842
200509,26.112368
200510,19.958414
200511,15.619552
200512,7.031056
200601,11.4712515
200602,8.498885
200603,13.896134
200604,21.776659
200605,22.090786
200606,26.39206
200607,28.43243
200608,28.670465
200609,22.15558
200610,17.70236
200611,14.389645
200612,12.349208
200701,8.96573
200702,7.5500927
200703,17.821882
200704,17.983574
200705,24.671581
200706,27.556614
200707,26.786926
200708,30.68936
200709,26.149408
200710,21.0451
200711,13.891334
200712,11.402843
200801,7.215895
200802,11.464401
200803,13.806248
200804,18.397863
200805,22.484262
200806,28.389175
200807,28.278334
200808,27.560827
200809,24.321907
200810,17.747772
200811,11.989122
200812,9.883294
200901,7.2293673
200902,9.397472
200903,13.977908
200904,18.198484
200905,21.985506
200906,27.211164
200907,25.992971
200908,27.010029
200909,22.790445
200910,17.531906
200911,15.058495
200912,6.6688633
